lhs,dd_ext,dd_int,dd_thd,dm_ext,dm_int,dm_thd,md_ext,md_int,md_thd,mm_ext,mm_int,mm_thd,d_ext,d_int,d_thd,m_ext,m_int,m_thd,c_ext,c_int,c_thd
dd_ext,NA,0.4058704589307128,0.32040282765301953,0.26072131076208716,0.16418677566461476,0.07541869012690379,0.06575959510561424,0.05417338930563664,0.01180134299182744,0.06880685884608007,0.05352550383879047,0.02381995914380927,0.2689903608882438,0.15893851624736066,0.1455616363348614,0.1419860199281694,0.08689894002399975,0.06723080675233849,0.06793846031631659,0.01779309041050682,0.01513409285714553
dd_int,0.4058704589307128,NA,0.37128348552495283,0.1641867756646148,0.2352981072090519,0.10469120796689856,0.04330280055611284,0.0519119990748581,0.01368217331162036,0.05822710705105971,0.06181110881930608,0.0239326924742193,0.20957897171123763,0.2097699435046319,0.16470446569993613,0.11383111368620805,0.07969374987324611,0.05852545748263194,0.05130474092891127,0.02301398027086847,-0.00391575185745064
dd_thd,0.32040282765301953,0.37128348552495283,NA,0.0754186901269038,0.10469120796689856,0.09461823338004532,0.00127702890780523,-0.00468744059050263,0.02317559623607773,0.00250889250507893,-0.00517903168240335,0.01107236027415925,0.1337367359529266,0.1161580977053471,0.181290985358072,0.03008510172110685,0.02081537984326219,0.02490993277093411,0.04279456344306545,0.03163035425537433,0.06863305537372649
dm_ext,0.26072131076208716,0.1641867756646148,0.0754186901269038,NA,0.4058704589307128,0.32040282765301953,0.08709715196625507,0.06259534351116025,0.0312300170983614,0.0956870947741992,0.06838619495278606,0.02642979272805964,0.26899036088824374,0.15893851624736063,0.14556163633486136,0.16230382501865556,0.09403357903898985,0.08138537008672511,0.08388439117664559,0.03225271184810893,0.01255094552261261
dm_int,0.16418677566461476,0.2352981072090519,0.10469120796689856,0.4058704589307128,NA,0.37128348552495283,0.05966911437802941,0.05668493931016266,0.01085912789929843,0.06678810736513238,0.06911825055020837,0.00947945414864955,0.20957897171123763,0.2097699435046319,0.16470446569993613,0.12022853944233482,0.0920094075740486,0.05829608217530778,0.05702603809704369,0.02147349929968614,0.02602048739260937
dm_thd,0.07541869012690379,0.10469120796689856,0.09461823338004532,0.32040282765301953,0.37128348552495283,NA,0.01136325165575776,0.0215146681639497,0.00671006601234652,0.02731502639816491,0.01132018361992186,-0.00458438944616554,0.1337367359529266,0.11615809770534707,0.18129098535807195,0.05273425469829854,0.03632060480038522,0.04041200612772507,0.04174102013929386,0.02954593947576847,0.07067981199252593
md_ext,0.06575959510561424,0.04330280055611284,0.00127702890780523,0.08709715196625507,0.05966911437802941,0.01136325165575776,NA,0.4058704589307128,0.32040282765301953,0.26072131076208716,0.16418677566461476,0.0754186901269038,0.16216575646871148,0.10982888941053125,0.0847830320710101,0.2689903608882438,0.1589385162473607,0.1455616363348614,0.08666064552110307,0.02991354871883254,0.00809121442865333
md_int,0.05417338930563664,0.0519119990748581,-0.00468744059050263,0.06259534351116025,0.05668493931016266,0.0215146681639497,0.4058704589307128,NA,0.3712834855249529,0.1641867756646148,0.2352981072090519,0.10469120796689854,0.1228601176701991,0.10708120409682514,0.07462125377026127,0.20957897171123768,0.20976994350463196,0.16470446569993613,0.0644212975012232,0.03011187389410919,0.02339218549023343
md_thd,0.01180134299182744,0.01368217331162036,0.02317559623607773,0.0312300170983614,0.01085912789929843,0.00671006601234652,0.32040282765301953,0.3712834855249529,NA,0.0754186901269038,0.10469120796689856,0.09461823338004532,0.05018120821106707,0.04767261628170453,0.04424103440255983,0.1337367359529266,0.11615809770534712,0.181290985358072,0.04925397751805792,0.05403153161801643,0.09866674125819384
mm_ext,0.06880685884608007,0.05822710705105971,0.00250889250507893,0.0956870947741992,0.06678810736513238,0.02731502639816491,0.26072131076208716,0.1641867756646148,0.0754186901269038,NA,0.4058704589307128,0.32040282765301953,0.16077128823913017,0.10655000315840052,0.09068904440142088,0.26899036088824385,0.1589385162473607,0.1455616363348614,0.10802464268062484,0.05027576577664782,0.05972057287679941
